,Job_Category,Job_Title,Company_Name,Location,Summary,Date,URL
56,Data Scientist,Data Scientist,Inter Partner Assistance Hong Kong Limited,Hong Kong,"Lead different-scale projects of data storage, data cleaning and data analysis in terms of different aspects of technology, processes and systems....",25 days ago,https://www.indeed.hk/rc/clk?jk=cfbba2cee82409c8&fccid=351b6b7c8f7cecc1&vjs=3
57,Data Scientist,Solution Engineer / Data Scientist (AI),KOS International Limited,Hong Kong,"Familiar with data structures and algorithms, Linux environment & common development tools, version management tools & testing frameworks....",21 days ago,https://www.indeed.hk/rc/clk?jk=e7cb1180cf9ef7ca&fccid=aa207b9300cdbd0f&vjs=3
58,Data Scientist,Data Scientist - Prop Trading Firm,Michael Page,Hong Kong,"They are now hiring a Data Scientist to expand their data team. Specialisation:IT Data Analysis. Propose, build, and execute various data science models to...",25 days ago,https://www.indeed.hk/rc/clk?jk=a881623f062d034d&fccid=77087bd1709a8148&vjs=3
59,Data Scientist,"Senior Manager, Data Management",AIA,Hong Kong,"8+ years of data management and database development, analytical experiences a plus, with at least 5 years data management and/or related work experience in...",21 days ago,https://www.indeed.hk/rc/clk?jk=bc96797f874f42f4&fccid=004041685e219574&vjs=3
60,Data Scientist,"Data Scientist, Lead",KOS International Limited,Hong Kong,"Minimum 5 years solid experience in data analysis, data mining, AI, computer vision, etc. To provide better services for their customers with the business...",21 days ago,https://www.indeed.hk/rc/clk?jk=b80e9ddebed339fb&fccid=aa207b9300cdbd0f&vjs=3
67,Data Scientist,Data Scientist and Data Engineer,Robert Walters,Hong Kong Island,A reputable retail bank is now hiring a data scientist as well as a data engineer to join their COE data team. Work with data analysts and engineers to identify...,23 days ago,https://www.indeed.hk/rc/clk?jk=ea4d3a9ed15ad55c&fccid=f01c2f55ec3054bf&vjs=3
68,Data Scientist,Full-Time Data Science and Machine Learning Instructor,Michael Page,Hong Kong,"Specialisation:IT Data Analysis. 3+ years' experience as Data Scientist/Machine, Learning Engineer/ Deep Learning....",24 days ago,https://www.indeed.hk/rc/clk?jk=7e08c7d946635499&fccid=77087bd1709a8148&vjs=3
69,Data Scientist,"senior ux/ui designer (big-data product, iot, mobile) - 500k",Randstad,Kowloon,"Be welcome to work with data scientist team and look for design insight via load of data. Working closely with our data scientist team, digital marketing,...",22 days ago,https://www.indeed.hk/rc/clk?jk=85d944481792eccb&fccid=f8b265243da9f9d7&vjs=3
71,Data Scientist,Data Scientist,Page Personnel,Hong Kong,They are looking for a passionate and experienced Data Scientist to help expanding their team. Proven track record in data analysis using statistical or...,30+ days ago,https://www.indeed.hk/rc/clk?jk=af454be97c820e0b&fccid=e5ea1ff710ce39ca&vjs=3
72,Data Scientist,Senior Digital Data Scientist (User Insights) - Media Platform,Michael Page,Hong Kong,"Establish data tools to tackle questions at scale; Bachelor degree in Statistics, Mathematics, Computer Science, Data Mining;...",30+ days ago,https://www.indeed.hk/rc/clk?jk=5d3154a2c521180a&fccid=77087bd1709a8148&vjs=3
74,Data Scientist,AI Engineer / Data Scientist,Animoca Brands Limited,Hong Kong,And handling data.*. Experience aggregating and cleaning data for machine learning. Developing a pipeline to continuously integrate new data sources into our...,30+ days ago,https://www.indeed.hk/company/Animoca-Brands-Limited/jobs/Ai-Engineer-dfaa35ed185b9754?fccid=2dcffb7fab5a6d4b&vjs=3
75,Data Scientist,Senior Data Scientist - Fintech company,Hays,Hong Kong,A newly start-up but fully funded Fintech firm is actively hiring a Senior Data scientist to lead their Data Science team....,30+ days ago,https://www.indeed.hk/rc/clk?jk=3dd57f1064547f68&fccid=31670bef3ae6497b&vjs=3
76,Data Scientist,Senior Data Manager (Data Scientist),Bank of China (Hong Kong),Hong Kong,"5+ years' experience relating to data analytics, with at least 3 years in data mining, statistical modeling, predictive analytics, machine learning or data...",30+ days ago,https://www.indeed.hk/rc/clk?jk=21a76c341b7d1a67&fccid=82a924ef8a1e6217&vjs=3
83,Data Scientist,CHIEF/(SENIOR) DATA SCIENTIST,Grey Anderson,Hong Kong,"Conduct data analysis; Identify which data source is relevant; Design data collection, integration and retention requirements....",30+ days ago,https://www.indeed.hk/rc/clk?jk=22d376332c8fa502&fccid=80b53194c3f5369e&vjs=3
