,Job Category,Job Title,Company Name,Location,Summary,Date,URL
379,Business Intelligence,Business Intelligence Analyst (CRM),NeoMas Professional Services,Hong Kong,"Support daily performance and issue resolution for analytical platforms and users, business process design, data transfer/migration, report/dashboard design....",30+ days ago,https://www.indeed.hk/rc/clk?jk=4ffa97c02b6913f3&fccid=64c11f6ac82d674b&vjs=3
380,Business Intelligence,"Assistant Manager/Manager, HR Data and Reporting",DBS Bank,Hong Kong,"Strong knowledge of Business Intelligence and Analytical tools e.g. Qlikview. Bachelor’s degree in Business Administration, Statistics or Human Resources. DBS....",30+ days ago,https://www.indeed.hk/rc/clk?jk=3e897c579d267779&fccid=cc1f9ea511d140fe&vjs=3
381,Business Intelligence,"Project Manager, Business Intelligence",NeoMas Professional Services,Hong Kong,"Around 8 years Business Intelligence / Web Portal Project experience, in which at least 2 years in Project Management role. 8 yrs Experience....",30+ days ago,https://www.indeed.hk/rc/clk?jk=3052958b2c71c6fd&fccid=64c11f6ac82d674b&vjs=3
382,Business Intelligence,Senior Business Intelligence Consultant / Business Intelligence Analyst,Global Executive Consultants,Hong Kong,"Experience in data warehouse and business intelligence implementation (preferably in Microsoft Business Intelligence solution with SQL 2016, SSIS, Power BI,...",30+ days ago,https://www.indeed.hk/rc/clk?jk=d0739127636a9571&fccid=76e131b9803c9734&vjs=3
383,Business Intelligence,Senior Business Analyst (Group Business Planning),AGS Group Limited,Hong Kong,Work closely with other Business Planning team members in the maintenance and enhancement of our market and business intelligence databases....,30+ days ago,https://www.indeed.hk/company/AGS-Group-Limited/jobs/Senior-Business-Analyst-a23e22315d3b5937?fccid=04c1f7dadde5af7e&vjs=3
384,Business Intelligence,Project Team Leader - Business Intelligence,NeoMas Professional Services,Hong Kong,Experience in business intelligence and / or web / portal / intranet project implementation. 6 yrs Experience....,30+ days ago,https://www.indeed.hk/rc/clk?jk=f2146afbb18ef45e&fccid=64c11f6ac82d674b&vjs=3
385,Business Intelligence,RISE Account Executive,Web Summit,Hong Kong,"You’ll work closely with the business intelligence team, analysing sales funnel data to create small, but critical process improvements....",,https://www.indeed.hk/rc/clk?jk=fc4304aba44c586a&fccid=753376366828aaad&vjs=3
386,Business Intelligence,Retail Risk Analytics - Senior Manager,Hillman Ross,Hong Kong,"Support data management projects and Business intelligence needs. Knowledge and understanding in one or more of the below areas preferred, including but not...",,https://www.indeed.hk/rc/clk?jk=a02769903fb24b85&fccid=619397f1d2f36501&vjs=3
387,Business Intelligence,Senior BI Analyst - Leading B2C Digital Marketers,Hays,Hong Kong,"You will need to have a strong foundation of using Business Intelligence, Reporting, and Visualization Tools (Tableau)....",,https://www.indeed.hk/rc/clk?jk=8180b1ec75757576&fccid=31670bef3ae6497b&vjs=3
388,Business Intelligence,Senior Director/Director - Investigations,Volt,Hong Kong,Business intelligence to support decisions during transactions. Our client is a leading consultancy now looking for Directors and Senior Directors to join the...,,https://www.indeed.hk/rc/clk?jk=aa6abf1e054cab89&fccid=86c0b4fa6c1398be&vjs=3
